Code	Name UZ	Name RU	Номер формы 	
docum-0001-00001	003 Statsionar bemorning tibbiy kartasi №	003 Медицинская карта стационарного больного №	003*	For Composition
docum-0001-00002	003-1-Homiladorlikni vaqtidan oldin tugatish kartasi	003-1-Карта прерывания беременности	003-1*	Doc
docum-0001-00003	005-Reanimatsiya (xona) va intensiv terapiya boʻlimidagi bemorni dinamik kuzatuv kartasi	005-Карта динамического наблюдения больного в реанимационной палате и отделении интенсивной терапии	005*	
docum-0001-00004	025-Ambulator tibbiy karta	025-Амбулаторная медицинская карта	025*	
docum-0001-00005	027-1 Yomon sifatli oʻsma xastaligi bor shifoxona (kartasi/ma'lumotnomasi)	027-1 Стационарная карта (запись) больного злокачественным новообразованием	027-1*	
docum-0001-00006	030-1 Ruhiy kasalligi bor bemorning dispanser kuzatuv nazorat kartasi	030-1 Контрольная карта диспансерного наблюдения больного с психическим заболеванием	030-1*	
docum-0001-00007	030-3 Dispanser kuzatuv (onko) nazorat kartasi	030-3 Контрольная карта диспансерного наблюдения (онко)	030-3*	
docum-0001-00008	030-4 Sil kasaliga qarshi muassasa kontingentini dispanser kuzatuv nazorat kartasi	030-4 Контрольная карта диспансерного наблюдения контингента противотуберкулезного учреждения	030-4*	
docum-0001-00009	030-Dispanser kuzatuvi nazorat kartasi	030-Контрольная карта диспансерного наблюдения	030*	
docum-0001-00010	031-1-Fizioterapiya boʻlimida davolanaygan patsiyentning kartasi	031-1-Карта пациента, проходящего лечение в физиотерапевтическом отделении	031-1*	
docum-0001-00011	045-Antirabik yordamga murojaat qilgan shaxsning kartasi	045-Карта лица, обратившегося за антирабической помощью	045*	
docum-0001-00012	053-Harbiy xizmatga chaqiriluvchining davolanish kartasi	053-Карта лечения призывника на военную службу	053*	
docum-0001-00013	062-Chaqiriq kartasi (old va orqa tomoni)	062-Карта вызова скорой помощи (лицевая и оборотная стороны)	062*	
docum-0001-00014	063-Profilaktik emlash kartasi	063-Карта профилактических прививок	063*	
docum-0001-00015	066-1 Ruhiy kasalliklar (narkologik) shifoxonasidan chiqarilgan bemorning statistik kartasi	066-1 Статистическая карта больного, выписанного из психиатрической (наркологической) больницы	066-1*	
