Name	Flags		Card.	Type	Example 	Description & Constraints	
Condition	D			DomainResource		Underlying Health Conditions or Accidents	
subject 	SΣ	D	1..1	"Reference(Patient)	"	John Smith	Deceased	
code	S	D	1..1	CodeableConcept	D64.9	"ICD-10 coded disease or condition
Binding: https://hl7.org/fhir/ValueSet/icd-10"	
Onset[x]							
onsetDateTimex [x]	SΣ	D	0..1	dateTime	2015-02-07T13:28:17	Onset of the condition	in case (Onset[x])
recordedDate	SΣ	D	0..1	dateTime	2015-02-07T13:28:18	"	Date condition was recorded"	
        recorder		D	0..1	Reference(Practitioner)	Obstetrician	Who recorded the condition	
evidence	SΣTU	D	0..*	CodeableReference(Any)	From Avtotransort	"In non-work related accidents, the type of injury
Binding: https://terminology.medcore.uz/ValueSet/condition-evidence-vs"	
note		D	0..*	Annotation		Additional information about the Condition	
