Local code,Code,Name UZ (lat),Name RU,Name EN,
tub001-0001,88356006,Birlamchi sil kompleksi,????????? ????????????? ????????,Primary respiratory tuberculosis,
tub001-0002,186278007,Disseminatsiyalangan sil,????????????????? ??????????,Acute miliary tuberculosis of multiple sites,
tub001-0003,724541008,Miliyar sil,????????? ??????????,Acute miliary tuberculosis of a single specified site,
tub001-0004,700272008,O‘choqli o‘pka sili,???????? ??????????,Other respiratory tuberculosis,
tub001-0005,186175002,Infiltrativ o‘pka sili,??????????????? ??????????,"Pulmonary tuberculosis, bacteriologically confirmed",
tub001-0006,154283005,Kazeoz pnevmoniya,????????? ?????????,Caseous pneumonia (pulmonary tuberculosis),
tub001-0007,186195008,O‘pka tuberkulomasi,??????????? ??????,Tuberculoma of lung,
tub001-0008,186177005,Kaverna bilan o‘pka sili,??????????? ??????????,Cavitary pulmonary tuberculosis,
tub001-0009,,Fibroz-kavernoz o‘pka sili,????????-??????????? ??????????,Fibro-cavitary pulmonary tuberculosis,
tub001-0010,90117007,Tsirrotik o‘pka sili,????????????? ??????????,Cirrhotic pulmonary tuberculosis,
tub001-0011,186199002,"Bronx, traxeya va yuqori nafas yo‘llari sili","?????????? ???????, ?????? ? ???","Tuberculosis of larynx, trachea and bronchus",
tub001-0012,78436002,Ko‘krak ichi limfa tugunlari sili,?? ????????????? ??????????,Tuberculosis of intrathoracic lymph nodes,
tub001-0013,186182003,Sil plevriti (empiema),?? ??????? (???????),Tuberculous pleurisy,
tub001-0014,58437007,Sil meningiti,?? ???????? ???????? ? ???,Tuberculous meningitis,
tub001-0015,186225008,"Ichak, qorin parda va mezenterial limfa tugunlari sili","?? ?????????, ??????? ? ?????????? ?/?","Tuberculosis of intestines, peritoneum and mesenteric lymph nodes",
tub001-0016,17653001,Suyak va bo‘g‘imlar sili,?? ?????? ? ????????,Tuberculosis of bones and joints,
tub001-0017,4445009,Siydik-jinsiy tizim sili,?? ??????? ? ??????? ???????,Tuberculosis of genitourinary system,
tub001-0018,271423008,Teri va teri osti to‘qimalari sili,?? ???? ? ????????? ?????????,Tuberculosis of skin and subcutaneous tissue,
tub001-0019,77038006,Periferik limfa tugunlari sili,?? ?????????????? ??????????,Tuberculosis of peripheral lymph nodes,
tub001-0020,49107007,Ko‘z sili,?? ?????,Tuberculosis of eye,
tub001-0021,,Boshqa a’zolar sili,?? ?????? ???????,Tuberculosis of other specified organs,
