Local code,Code,Name Uz,Name Ru,Name Eng,,,,,,
Tub002-0001,53904-9,"Balg‘am surtmasi, FL",??????????? ????? ??????? (??????????????),Sputum smear microscopy (fluorescent),??????????? ????? ??????? ? ?????????????? ????????????,,,,,
Tub002-0002,647-8,"Balg‘am surtmasi, ZN",??????????? ????? ??????? (????–???????),Sputum smear microscopy (Ziehl–Neelsen),???????????? ??????????? ????? ??????? ??????? ????–????????,,,,,
Tub002-0003,,Xpert MTB/RIF Ultra,Xpert MTB/RIF Ultra,Xpert MTB/RIF Ultra,???????????? ???? ??? ????????? MTB ? ?????????????? ? ???????????,,,,,
Tub002-0004,,Xpert MTB/XDR,Xpert MTB/XDR,Xpert MTB/XDR,???????????? ???? ??? ????????? ??????????? ????????????? ????????????,,,,,
Tub002-0005,,LJ muhitida ekish,???????? ?? ????? ???????????–???????,Culture on Löwenstein–Jensen medium,????? MTB ?? ??????? ??????????? ?????,,,,,
Tub002-0006,438487006,MGIT muhitida ekish,???????? ?? ????? MGIT BACTEC,MGIT BACTEC culture,????? MTB ? ?????? ????? MGIT,,,,,
Tub002-0007,,MGITda fenotipik TLU,?????????????? ??? ?? ????? MGIT,Phenotypic DST on MGIT,??????????? ????????????? ???????????????? ?????????????? ???????,,,,,
Tub002-0008,,LPA MTBDR plus,LPA MTBDR plus (Rif/Inh/Eto-Pto),LPA MTBDRplus,???????? ????-?????? ??? Rif/INH/Eto/Pto,,,,,
Tub002-0009,,LPA MTBDR SL,LPA MTBDR SL (Fql/SLI),LPA MTBDRsl,???????? ????-?????? ??? FQ ? SLI,,,,,
Tub002-0010,,,,,,,,,,
Tub002-0011,,,,,,,,,,
Tub002-0012,30745-4,Ko‘krak qafasi rentgenografiyasi,?????????????? ??????? ??????? ??????,Chest X-ray,,,,,,
,,,,,,,,,,
