code,name uz,name ru,name eng,,,,,,,
S,Sezgir,??????????????,All ,,,,,,,
R,Rezistent,??????????,Resistant,,,,,,,
POS,Musbat,?????????????,Positive,,,,,,,
NEG,Manfiy,?????????????,"	Negative",,,,,,,
Tub003-0001,R – Ehtimoliy rezistentlik,R-????????? ??????????????,R – Probable resistance,,,,,,,
Tub003-0002,? – Natija ishonchsiz,?-????????? ????????????? ,? – Indeterminate result,,,,,,,
Tub003-0003,x – Natija yaroqsiz,?-????????? ???????????????? ,x – Invalid result,,,,,,,
Tub003-0004,Preparat tekshirilmagan,???????? ?? ???????????? ,Drug not tested,,,,,,,
Tub003-0005,Aniqlangan,????????? ,Detected,,,,,,,
Tub003-0006,Izlar aniqlangan,?????,Trace detected,,,,,,,
Tub003-0007,Aniqlanmagan,?? ????????? ,Not detected,,,,,,,
Tub003-0008,Test xatosi (takrorlash),?????? ???? (?????????),Test error (repeat),,,,,,,
Tub003-0009,Petrov usuli – 4% NaOH,?????? - 4%NaOH,Petroff method – 4% NaOH,,,,,,,
Tub003-0010,NALC usuli – 2% NaOH,NALC - 2%NaOH,NALC method – 2% NaOH,,,,,,,
Tub003-0011,1–9 KUB / 40 ko‘rish maydoni,1-9 ??? /40 ????? ??????,1–9 AFB / 40 fields,,,,,,,
Tub003-0012,1+ / 40 ko‘rish maydoni,1+/40 ????? ??????,1+ / 40 fields,,,,,,,
Tub003-0013,2+ / 40 ko‘rish maydoni,2+/40 ????? ??????,2+ / 40 fields,,,,,,,
Tub003-0014,3+ / 40 ko‘rish maydoni,3+/40 ????? ??????,3+ / 40 fields,,,,,,,
Tub003-0015,0 / 40 ko‘rish maydoni,0/40 ????? ??????,0 / 40 fields,,,,,,,
Tub003-0016,1–9 KUB / 100 ko‘rish maydoni,1-9 ??? /100 ????? ??????,1–9 AFB / 100 fields,,,,,,,
Tub003-0017,1+ / 100 ko‘rish maydoni,1+/100 ????? ??????,1+ / 100 fields,,,,,,,
Tub003-0018,2+ / 100 ko‘rish maydoni,2+/100 ????? ??????,2+ / 100 fields,,,,,,,
Tub003-0019,3+ / 100 ko‘rish maydoni,3+/100 ????? ??????,3+ / 100 fields,,,,,,,
Tub003-0020,0 / 100 ko‘rish maydoni,0/100 ????? ??????,0 / 100 fields,,,,,,,
Tub003-0021,1–20 KUB,1-20 ???,1–20 CFU,,,,,,,
Tub003-0022,1+ / 20–99 KUB,1+ /20-99 ???,1+ / 20–99 CFU,,,,,,,
Tub003-0023,2+ / 100–500 KUB,2+ /100-500 ???,2+ / 100–500 CFU,,,,,,,
Tub003-0024,3+ / Hisoblab bo‘lmaydigan KUB,3+ /????????? ???-?? ???,3+ / Too numerous to count (TNTC),,,,,,,
Tub003-0025,0 – KUB aniqlanmagan,0 - ??? ?? ?????????,0 – CFU not detected,,,,,,,
Tub003-0026,M. tuberculosis kompleksi (MTBC),M.Tuberculesis ???????? (MTBC),M. tuberculosis complex (MTBC),,,,,,,
Tub003-0027,Silga oid bo‘lmagan mikobakteriyalar (NTM),??????????????? ???????????? (NTM),Non-tuberculous mycobacteria (NTM),,,,,,,
Tub003-0028,Aniqlanmagan,?? ????????? ,Not identified,,,,,,,
Tub003-0029,,M.avium ssp.,,,,,,,,
Tub003-0030,,M. chelonae,,,,,,,,
Tub003-0031,,M. abscessus,,,,,,,,
Tub003-0032,,M. fortuitum 1,,,,,,,,
Tub003-0033,,M. fortuitum 2,,,,,,,,
Tub003-0034,,M. gordonae,,,,,,,,
Tub003-0035,,M. intracellulare,,,,,,,,
Tub003-0036,,M. scrofulaceum,,,,,,,,
Tub003-0037,,M. interjectum,,,,,,,,
Tub003-0038,,M. kansasii,,,,,,,,
Tub003-0039,,M. malmoense,,,,,,,,
Tub003-0040,,M. marinum,,,,,,,,
Tub003-0041,,M. peregrinum,,,,,,,,
Tub003-0042,,M. xenopi,,,,,,,,
Tub003-0043,,Mycobacterium spp,,,,,,,,
,,,,,,,,,,
