Code,Name UZ,Name RU,Name EN,,,,,,,,
Tub004-0001,INH ? MIK natijasi,????????? INH ????,INH high MIC result,???????? ???????????????? ? ??????? ???????????? ??? ???????????? ????????????? ?????????? ??? ?????????? ????? Xpert MTB/XDR,,,,,,,
Tub004-0002,INH ? MIK / ETH natijasi,????????? INH ???? / ETH,INH low MIC / ETH result,???????? ???????????????? ? ?????????? ? ?????? ???????????? ??? ???????????? ????????????? ?????????? ??? ?????????? ????? Xpert MTB/XDR,,,,,,,
Tub004-0003,FQL ? MIK natijasi,????????? FQL ????,FQL high MIC result,???????? ???????????????? ? ??????? ???????????? ??? ???????????? ????????????? ????????????? ??? ?????????? ????? Xpert MTB/XDR,,,,,,,
Tub004-0004,FQL ? MIK natijasi,????????? FQL ????,FQL low MIC result,???????? ???????????????? ? ?????? ???????????? ??? ???????????? ????????????? ????????????? ??? ?????????? ????? Xpert MTB/XDR,,,,,,,
Tub004-0005,AMK/KAN/CAP natijasi,????????? AMK/KAN/CAP,AMK/KAN/CAP result,"???????? ???????????????? ? ?????????, ?????????? ? ???????????? ??? ?????????? ????? Xpert MTB/XDR",,,,,,,
Tub004-0006,AMK/KAN natijasi,????????? AMK/KAN,AMK/KAN result,???????? ???????????????? ? ????????? ? ?????????? ??? ?????????? ????? Xpert MTB/XDR,,,,,,,
Tub004-0007,"Rifampitsin (1,0 mg/ml)","?????????? (1,0 ??/??)",Rifampicin (1.0 mg/mL),,,,,,,,
Tub004-0008,"Izoniazid (0,1 mg/ml)","????????? (0,1 ??/??)",Isoniazid (0.1 mg/mL),,,,,,,,
Tub004-0009,"Etambutol (5,0 mg/ml)","????????? (5,0 ??/??)",Ethambutol (5.0 mg/mL),,,,,,,,
Tub004-0010,Pirazinamid (100 mg/ml),??????????? (100 ??/??),Pyrazinamide (100 mg/mL),,,,,,,,
Tub004-0011,"Levofloksatsin (2,0 mg/ml)","????????????? (2,0 ??/??)",Levofloxacin (2.0 mg/mL),,,,,,,,
Tub004-0012,"Moksifloksatsin (1,0 mg/ml)","?????????????? (1,0 ??/??)",Moxifloxacin (1.0 mg/mL),???????? ?????????? ???????????? ??? ?? MGIT ??? ??????????????? ??????? ?????????,,,,,,,
Tub004-0013,"Moksifloksatsin (0,25 mg/ml)","?????????????? (0,25 ??/??)",Moxifloxacin (0.25 mg/mL),???????? ?????????? ???????????? ??? ?? MGIT ??? ??????????????? ?????? ?????????,,,,,,,
Tub004-0014,"Gatifloksatsin (0,25 mg/ml)","????????????? (0,25 ??/??)",Gatifloxacin (0.25 mg/mL),???????? ?????????? ???????????? ??? ?? MGIT ??? ??????????????,,,,,,,
Tub004-0015,"Amikatsin (1,0 mg/ml)","???????? (1,0 ??/??)",Amikacin (1.0 mg/mL),???????? ?????????? ???????????? ??? ?? MGIT ??? ?????????,,,,,,,
Tub004-0016,"Protionamid (2,5 mg/ml)","??????????? (2,5 ??/??)",Prothionamide (2.5 mg/mL),???????? ?????????? ???????????? ??? ?? MGIT ??? ????????????,,,,,,,
Tub004-0017,"Linezolid (1,0 mg/ml)","????????? (1,0 ??/??)",Linezolid (1.0 mg/mL),???????? ?????????? ???????????? ??? ?? MGIT ??? ??????????,,,,,,,
Tub004-0018,"Klofazimin (1,0 mg/ml)","?????????? (1,0 ??/??)",Clofazimine (1.0 mg/mL),,,,,,,,
Tub004-0019,"Bedaquilin (1,0 mg/ml)","?????????? (1,0 ??/??)",Bedaquiline (1.0 mg/mL),???????? ?????????? ???????????? ??? ?? MGIT ??? ???????????,,,,,,,
Tub004-0020,"Delamanid (0,06 mg/ml)","????????? (0,06 ??/??)",Delamanid (0.06 mg/mL),???????? ?????????? ???????????? ??? ?? MGIT ??? ??????????,,,,,,,
Tub004-0021,"Pretomanid (1,0 mg/ml)","?????????? (1,0 ??/??)",Pretomanid (1.0 mg/mL),???????? ?????????? ???????????? ??? ?? MGIT ??? ???????????,,,,,,,
Tub004-0022,Dekontaminatsiya turi,??? ??????????????,Type of decontamination,???????? ???? ??????????? ?????????????? ??? ????????????? ????????,,,,,,,
Tub004-0023,Gradatsiya,????????,Grading,???????? ???????? ??????? ???????????? ??????????? ? ???? ??????,,,,,,,
Tub004-0024,Madaniyat identifikatsiyasi,????????????? ????????,Culture identification,,,,,,,,
Tub004-0025,M. tuberculosis complex aniqlash natijasi,????????? ??????????? M. tuberculosis complex,Result of M. tuberculosis complex detection,,,,,,,,
Tub004-0026,CM/AS izolyatini identifikatsiya qilish,????????????? ??????? CM/AS,CM/AS isolate identification,????????? LPA ????????????? CM/AS,,,,,,,
