Name,,Flags,,Cardinality,Type,Description & Constraints,??????,??????,??????,??????,??????,??????,,,,,,,
Observation , ,N, , ,DomainResource,Measurements and simple assertions,, , , , , ,,,,,,,
identifier, ,?, ,0..*,Identifier,????????????? ??? ?????????? , , , , , , ,,,,,,,
status, ,?!?, ,1..1,code,registered | preliminary | final | amended +,final,final,final,final,final,final,,,,,,,
,,,,,,Binding: Observation Status (Required),,,,,,,,,,,,,
category, , , ,0..*,Codableconcept,Classification of type of observation,labaratory,labaratory,labaratory,labaratory,labaratory,labaratory,,,,,,,
,,,, ,,Binding: ObservationCategoryVS (0.3.0) (required),,,,,,,,,,,,,
code, ,?C, ,1..1,Codableconcept,Classification of type of observation,??????????? ????? ??????? - ??????????? (??),Xpert MTB/XDR,Xpert MTB/RIF Ultra,???????? ?? ????? ???????????-???????,???????? ?? ????? MGIT BACTEC,LPA MTBDR plus (Rif/Inh/Eto-Pto),,,,,,,
,,,,,,Binding: Terminalogy.dhp.uz/observationCode,,,,,,,,,,,,,
subject, ,?, ,0..1,Ref. (Patient),Who and/or what the observation is about,?.?.?/TB0225005979,?.?.?/TB0225005979,?.?.?/TB0225005979,?.?.?/TB0225005979,?.?.?/TB0225005979,?.?.?/TB0225005979,,,,,,,
effective[x], ,?, ,0..1, , , ,, , , , ,,,,,,,
 ,effectiveDateTime, , , ,dateTime, ,9/12/2025,9/12/2025,9/12/2025,9/12/2025,9/12/2025,9/12/2025,,,,,,,
issued, ,?, ,0..1,instant,Date/Time this version was made available,9/12/2025,9/12/2025,9/12/2025,9/12/2025,9/12/2025,9/12/2025,,,,,,,
perfomer, ,?, ,0..*,Ref. (organization) ,Who is responsible for the observation,"????? ? 3, ??????? - GX","????? ? 3, ??????? - GX","????? ? 3, ??????? - GX","????? ? 3, ??????? - GX","????? ? 3, ??????? - GX","????? ? 3, ??????? - GX",,,,,,,
,,,,,, UZ Core Organization(0.3.0)),,,,,,,,,,,,,
volue[x], ,?C, ,0..1, ,????????? ??????, , , , , , ,,,,,,,
 ,valueCodeableConcept, , , ,CodeableConcept, ,????????????? , , , , , ,,,,,,,
method, , , ,0..1,CodeableConcept,??? ??? ???? ???????,???????? ??????????? (????????????), , , , , ,,,,,,,
,,,,,,"Bind: https://www.hl7.org/fhir/valueset-observation-methods.html
http://snomed.info/sct 278289002 Microscopy technique (qualifier value)",, , , , , ,,,,,,,
specimen, ,C, ,0..1,ref. (specimen),"Specimen used for this observation
+ Rule: If Observation.specimen is a reference to Group, the group can only have specimens",????????? ??????? / ????? / ?????? ??????? ??????? / ?????? ??????? ,????????? ??????? / ?????,????????? ??????? / ?????, , ,?????? ??????? ,,,,,,,
component, ,?C, ,0..*, , , , , , , , ,,,,,,,
 ,code,?C, ,1..1,CodeableConcept,Type of component observation (code / type),???????? ,????????? INH ????,??????????? M.Tuberculosis,??? ?????????????? ,"????????? (0,1 ??/??)",????????? ??????????? M. tuberculosis complex,,,,,,,
,,,,,,CSObservationComponentCode,,,,,,,,,,,,,
 ,volue[x],?, , , , , , , , , , ,,,,,,,
 ,  volueCodeableConcept, , , ,CodeableConcept,CSObservationCodeableConcept,1-9 ??? /40 ????? ??????,??????????????,????????? ,?????? - 4%NaOH,??????????,?????????,,,,,,,
component, ,?C, ,0..*, , , , , , , , ,,,,,,,
 ,code,?C, ,1..1,CodeableConcept,Type of component observation (code / type),,,,,,,,,,,,,
,,,,,,CSObservationComponentCode, ,????????? INH ???? / ETH, ,????????? ????????,"?????????? (1,0 ??/??)",????????????? ??????? CM/AS,,,,,,,
 ,volue[x],?, , , , , , , , , , ,,,,,,,
 ,  volueCodeableConcept, , , ,CodeableConcept, CSObservationCodeableConcept, ,??????????, ,?????????????,??????????,M.Tuberculesis complex (MTBC),,,,,,,
component, ,?C, ,0..*, , , , , , , , ,,,,,,,
 ,code,?C, ,1..1,CodeableConcept,Type of component observation (code / type),,,,,,,,,,,,,
,,,,,,CSObservationComponentCode, , , ,????????, , ,,,,,,,
 ,volue[x],?, , , , , , , , , , ,,,,,,,
 ,  volueCodeableConcept, , , ,CodeableConcept, CSObservationCodeableConcept, , , ,1+ /20-99 ???, , ,,,,,,,
component, ,?C, ,0..*, , ,, , , , , ,,,,,,,
 ,code,?C, ,1..1,CodeableConcept,Type of component observation (code / type),, , , , , ,,,,,,,
,,,,,,CSObservationComponentCode, , , ,????????????? ????????, , ,,,,,,,
 ,volue[x],?, , , , , , , , , , ,,,,,,,
 ,  volueCodeableConcept, , , ,CodeableConcept, CSObservationCodeableConcept, , , ,M.Tuberculesis ???????? (MTBC), , ,,,,,,,
 , , , , , , , , , , , , ,,,,,,,
hasMember, ,?, ,0..*, , ,???????? ?????? ???????????? ????????????, , , , , ,,,,,,,
note, , , ,0..*, , , , , , , , ,,,,,,,
